record_id,timestamp,shipment_id,candidate_route_id,origin,destination,cargo_type,cargo_weight_kg,priority,airline,season,shc_code,num_connections,distance_km,total_transit_time_hours,capacity_available_kg,reliability_score,weather_risk_score,load_factor,cost_sar,optimization_score
RTE_017447,2025-04-14 06:58:53,SHP_003886,CR_06,LHR,JED,Heavy,6006.36,Standard,Qatar Airways Cargo,Spring,HEA,0,4593.0,7.83,10467.78,0.941,0.165,0.559,26710.26,0.9192
RTE_011824,2025-10-08 06:17:51,SHP_002634,CR_02,LAX,JED,Valuable,185.45,Standard,Emirates SkyCargo,Monsoon,VAL,1,13280.0,21.7,355.95,0.909,0.276,0.649,4531.47,0.5924
RTE_004773,2025-11-26 02:25:24,SHP_001068,CR_03,ORD,JED,Perishable,1461.44,Express,Lufthansa Cargo,Monsoon,ICE,2,10860.0,22.65,3170.88,0.879,0.124,0.738,9879.43,0.99
RTE_018883,2025-05-30 17:38:11,SHP_004209,CR_01,IST,JED,General,1692.06,Express,FedEx Express,Spring,GEN,0,2399.0,4.42,3889.49,0.964,0.152,0.492,7404.04,0.99
RTE_007701,2025-12-18 20:22:24,SHP_001715,CR_03,HKG,JED,Perishable,2183.9,Express,Saudia Cargo,Winter,FRO,0,6295.0,8.41,5054.19,0.975,0.155,0.79,13708.92,0.7681
RTE_005019,2025-09-05 19:38:16,SHP_001126,CR_02,NRT,JED,Perishable,2687.42,Express,Lufthansa Cargo,Monsoon,ICE,2,9627.0,23.58,6546.85,0.806,0.28,0.817,13543.5,0.6382
RTE_001475,2025-04-21 06:19:11,SHP_000326,CR_04,MIA,JED,Heavy,9316.02,Standard,Emirates SkyCargo,Spring,HEA,1,11516.0,24.21,13043.17,0.898,0.219,0.844,45018.46,0.5154
RTE_004967,2025-07-05 04:07:24,SHP_001113,CR_04,LAX,JED,Valuable,138.5,Express,Saudia Cargo,Summer,VAL,0,13358.0,18.45,439.17,0.966,0.04,0.793,1782.4,0.99
RTE_006242,2025-06-07 03:47:57,SHP_001391,CR_02,DOH,JED,Perishable,2029.74,Express,Cargolux,Summer,PER,1,1260.0,8.14,7282.5,0.89,0.168,0.624,11933.22,0.559
RTE_000475,2025-10-04 14:50:27,SHP_000103,CR_03,DEL,JED,Valuable,350.7,Standard,Qatar Airways Cargo,Monsoon,VAL,2,4004.0,20.91,718.68,0.778,0.23,0.861,5409.93,0.1976
RTE_019607,2025-06-21 02:42:49,SHP_004363,CR_02,CAI,JED,Valuable,892.6,Express,UPS Airlines,Summer,VAL,1,1285.0,8.44,2488.34,0.856,0.28,0.604,6483.92,0.7257
RTE_003317,2025-09-15 20:07:37,SHP_000745,CR_05,DXB,JED,Valuable,697.72,Express,Emirates SkyCargo,Monsoon,VAL,2,1647.0,14.72,2053.34,0.819,0.082,0.741,7019.56,0.3595
RTE_002715,2025-08-07 22:12:17,SHP_000610,CR_02,ORD,JED,Perishable,595.24,Express,Lufthansa Cargo,Summer,PER,2,10898.0,30.12,1672.93,0.834,0.134,0.67,3997.24,0.5211
RTE_008919,2025-11-28 22:36:51,SHP_001987,CR_04,CAI,JED,Pharmaceutical,1644.76,Express,FedEx Express,Monsoon,ELM,1,1236.0,11.2,4224.02,0.923,0.356,0.666,9639.93,0.3298
RTE_005702,2025-05-10 13:54:07,SHP_001276,CR_02,AMS,JED,Perishable,356.17,Standard,UPS Airlines,Spring,ICE,1,4719.0,16.98,602.74,0.842,0.66,0.865,1877.49,0.5452
RTE_005949,2025-06-23 02:00:49,SHP_001329,CR_02,NBO,JED,Valuable,728.49,Express,Turkish Cargo,Summer,VAL,1,2761.0,9.22,1557.32,0.916,0.125,0.761,5849.96,0.99
RTE_004060,2025-12-31 00:55:23,SHP_000910,CR_01,JNB,JED,Heavy,3057.98,Standard,UPS Airlines,Winter,HEA,1,6511.0,18.42,5439.16,0.817,0.179,0.499,12912.35,0.6461
RTE_019104,2025-10-20 03:40:16,SHP_004256,CR_02,SIN,JED,Heavy,3272.38,Economy,Lufthansa Cargo,Monsoon,HEA,0,7181.0,13.84,6090.87,0.905,0.248,0.777,16350.8,0.7797
RTE_010629,2025-09-22 09:32:09,SHP_002368,CR_05,LHR,JED,Perishable,482.44,Standard,Qatar Airways Cargo,Monsoon,FRO,2,4774.0,23.42,1520.34,0.734,0.295,0.805,5846.46,0.2157
RTE_011389,2025-08-05 13:24:03,SHP_002539,CR_06,NRT,JED,Heavy,14016.45,Express,FedEx Express,Summer,HEA,1,9615.0,18.64,39390.87,0.874,0.254,0.911,77580.79,0.357
RTE_016458,2025-10-07 09:56:28,SHP_003661,CR_01,HKG,JED,Dangerous,1618.21,Standard,Singapore Airlines Cargo,Monsoon,CAO,1,6257.0,18.6,3935.4,0.78,0.285,0.807,11002.43,0.4433
RTE_011064,2025-08-04 21:21:04,SHP_002469,CR_02,ATL,JED,Pharmaceutical,1183.8,Express,FedEx Express,Summer,ELM,1,11031.0,21.67,2585.28,0.925,0.061,0.782,8896.08,0.6113
RTE_019136,2025-12-13 17:50:51,SHP_004262,CR_05,HKG,JED,Valuable,870.11,Express,Emirates SkyCargo,Winter,VAL,0,6447.0,11.4,2567.24,0.929,0.413,0.69,6650.51,0.99
RTE_020850,2025-10-01 15:31:45,SHP_004638,CR_02,NBO,JED,General,1354.58,Standard,Singapore Airlines Cargo,Monsoon,GEN,0,2958.0,5.93,2306.11,0.937,0.134,0.797,8548.93,0.6433
RTE_016656,2025-04-27 12:47:41,SHP_003705,CR_01,FRA,JED,Pharmaceutical,1532.08,Express,FedEx Express,Spring,ELM,0,4066.0,8.45,3723.55,0.951,0.257,0.754,9925.76,0.9085
RTE_017358,2025-07-13 17:58:36,SHP_003866,CR_05,LAX,JED,Heavy,9715.83,Standard,Lufthansa Cargo,Summer,HEA,1,13433.0,29.57,12058.3,0.815,0.073,0.98,49527.35,0.3379
RTE_002584,2026-01-01 22:13:17,SHP_000579,CR_06,ORD,JED,General,2083.51,Express,Saudia Cargo,Winter,GEN,1,10771.0,20.65,5564.85,0.947,0.021,0.828,11258.55,0.6666
RTE_008410,2025-04-09 22:28:06,SHP_001873,CR_02,ATL,JED,Pharmaceutical,381.15,Express,FedEx Express,Spring,ELI,0,10987.0,14.02,1047.43,0.915,0.444,0.905,5972.98,0.6248
RTE_002880,2025-05-21 02:28:22,SHP_000645,CR_03,DXB,JED,Dangerous,1571.48,Standard,Turkish Cargo,Spring,CAO,1,1806.0,10.51,4442.51,0.859,0.173,0.801,6274.83,0.7898
RTE_003395,2025-05-20 23:10:40,SHP_000762,CR_04,IST,JED,General,675.63,Economy,Turkish Cargo,Spring,GEN,1,2460.0,12.52,2085.68,0.791,0.391,0.711,4473.2,0.3963
RTE_005217,2025-11-17 11:45:25,SHP_001168,CR_03,ADD,JED,Perishable,2574.12,Express,UPS Airlines,Monsoon,ICE,1,1816.0,10.99,8150.44,0.868,0.354,0.659,12195.97,0.7022
RTE_005171,2025-03-31 19:39:28,SHP_001158,CR_03,LHR,JED,Dangerous,956.02,Express,Saudia Cargo,Spring,DGR,1,4885.0,10.66,2330.5,0.83,0.27,0.848,6718.65,0.5053
RTE_005765,2025-11-01 19:49:46,SHP_001289,CR_01,FRA,JED,Valuable,113.7,Standard,UPS Airlines,Monsoon,VAL,1,4182.0,10.57,315.83,0.823,0.361,0.87,2816.42,0.609
RTE_000386,2025-08-13 10:33:47,SHP_000082,CR_05,MIA,JED,General,565.49,Standard,Singapore Airlines Cargo,Summer,GEN,0,11723.0,21.89,1730.21,0.975,0.062,0.86,3335.47,0.99
RTE_020082,2025-06-05 21:28:58,SHP_004468,CR_05,ADD,JED,Pharmaceutical,195.29,Express,Saudia Cargo,Summer,ELM,1,1755.0,8.44,591.46,0.865,0.123,0.785,4664.48,0.7294
RTE_002768,2025-08-24 18:50:18,SHP_000622,CR_02,AUH,JED,Valuable,829.34,Standard,Singapore Airlines Cargo,Summer,VAL,2,1636.0,14.53,2611.15,0.809,0.331,0.796,6002.39,0.2335
RTE_015818,2026-01-13 10:17:48,SHP_003513,CR_02,DXB,JED,Perishable,319.88,Express,Cargolux,Winter,PER,0,1737.0,5.67,681.77,0.916,0.653,0.614,2907.94,0.7399
RTE_019719,2025-11-18 04:20:33,SHP_004387,CR_01,JNB,JED,Pharmaceutical,1037.59,Express,Etihad Cargo,Monsoon,ELM,1,6384.0,15.38,2509.62,0.903,0.182,0.692,6023.03,0.4162
RTE_011137,2025-11-02 05:21:59,SHP_002486,CR_01,DEL,JED,Perishable,2800.82,Express,Qatar Airways Cargo,Monsoon,PER,0,3789.0,8.53,8726.82,0.926,0.453,0.592,17230.91,0.6857
RTE_007047,2025-05-15 12:47:42,SHP_001572,CR_06,RUH,JED,Heavy,5834.17,Economy,Emirates SkyCargo,Spring,HEA,1,765.0,10.65,11177.06,0.773,0.496,0.77,18465.37,0.1549
RTE_015537,2025-05-09 15:12:30,SHP_003450,CR_03,SIN,JED,General,2763.3,Standard,Turkish Cargo,Spring,GEN,2,7005.0,21.89,4237.95,0.773,0.308,0.813,8821.14,0.2764
RTE_008740,2025-03-18 17:10:16,SHP_001947,CR_04,MAD,JED,General,2000.27,Economy,Lufthansa Cargo,Spring,GEN,0,4588.0,10.38,6594.15,0.929,0.15,0.77,10219.62,0.7047
RTE_006780,2025-03-10 22:11:50,SHP_001513,CR_04,PVG,JED,Pharmaceutical,41.89,Standard,Qatar Airways Cargo,Spring,ELI,1,8160.0,15.47,76.92,0.856,0.136,0.906,1357.42,0.6265
RTE_004485,2025-09-06 13:49:07,SHP_001006,CR_05,KWI,JED,General,553.36,Standard,Qatar Airways Cargo,Monsoon,GEN,1,1229.0,8.03,761.11,0.807,0.431,0.779,5772.21,0.3188
RTE_016607,2025-09-18 21:15:30,SHP_003693,CR_05,MAD,JED,Valuable,286.09,Economy,FedEx Express,Monsoon,VAL,0,4682.0,11.54,577.56,0.837,0.591,0.757,1747.27,0.7317
RTE_013898,2025-12-24 07:00:36,SHP_003089,CR_02,ICN,JED,Valuable,975.7,Economy,Turkish Cargo,Winter,VAL,0,8471.0,17.01,3194.39,0.869,0.403,0.55,8702.98,0.5829
RTE_003949,2026-02-17 07:49:20,SHP_000885,CR_03,LHR,JED,General,4213.59,Standard,Qatar Airways Cargo,Winter,GEN,0,4788.0,10.45,12990.02,0.958,0.182,0.667,15000.46,0.9822
RTE_015894,2025-12-07 07:55:32,SHP_003533,CR_02,NBO,JED,General,1614.75,Economy,Singapore Airlines Cargo,Winter,GEN,2,2755.0,20.35,5078.69,0.636,0.663,0.894,6748.18,0.1673
RTE_018399,2025-06-26 07:13:32,SHP_004101,CR_02,ICN,JED,Pharmaceutical,1226.93,Standard,Turkish Cargo,Summer,ELM,1,8698.0,20.71,3950.47,0.861,0.234,0.614,6227.05,0.5983
RTE_002572,2025-09-12 11:50:22,SHP_000577,CR_04,DOH,JED,Perishable,1193.71,Standard,Turkish Cargo,Monsoon,ICE,1,1364.0,10.16,3944.08,0.87,0.166,0.574,4527.62,0.99
RTE_005231,2025-03-10 00:30:10,SHP_001171,CR_04,PVG,JED,Pharmaceutical,1977.24,Standard,Singapore Airlines Cargo,Spring,ELM,0,8014.0,12.3,6332.95,0.942,0.201,0.659,11483.53,0.8937
RTE_018530,2025-12-04 11:39:05,SHP_004130,CR_01,LAX,JED,Dangerous,3349.91,Standard,UPS Airlines,Winter,DGR,0,13586.0,23.32,6888.11,0.944,0.388,0.714,21463.25,0.5811
RTE_007913,2026-01-08 12:00:32,SHP_001763,CR_02,SIN,JED,Perishable,995.29,Express,Qatar Airways Cargo,Winter,ICE,1,7242.0,17.28,2113.84,0.882,0.238,0.67,8534.56,0.4702
RTE_005972,2026-01-15 14:04:31,SHP_001334,CR_01,ORD,JED,Dangerous,2415.15,Express,Etihad Cargo,Winter,DGR,2,10851.0,27.47,6725.71,0.802,0.265,0.664,14725.15,0.3846
RTE_003231,2025-12-19 04:39:35,SHP_000724,CR_04,IST,JED,Dangerous,1958.13,Express,Singapore Airlines Cargo,Winter,DGR,1,2431.0,6.78,2987.26,0.902,0.371,0.645,12310.96,0.5534
RTE_011454,2025-03-19 16:11:24,SHP_002552,CR_01,CDG,JED,Heavy,9901.05,Economy,Qatar Airways Cargo,Spring,HEA,0,4319.0,9.35,25658.89,0.906,0.283,0.511,37731.49,0.8395
RTE_007749,2025-09-25 11:10:57,SHP_001727,CR_01,ATL,JED,Pharmaceutical,1476.99,Standard,Lufthansa Cargo,Monsoon,ELM,0,11140.0,17.15,4962.35,0.958,0.38,0.732,11765.03,0.83
RTE_010903,2025-12-02 17:40:41,SHP_002431,CR_02,DXB,JED,Pharmaceutical,1321.62,Standard,Emirates SkyCargo,Winter,ELI,1,1878.0,12.87,3746.91,0.866,0.242,0.796,8537.35,0.5335
RTE_012518,2025-11-18 07:52:11,SHP_002787,CR_03,CDG,JED,Perishable,927.13,Standard,Etihad Cargo,Monsoon,FRO,2,4515.0,15.89,2831.75,0.798,0.305,0.708,5926.83,0.2681
RTE_017872,2025-08-31 10:52:43,SHP_003981,CR_03,DOH,JED,Dangerous,787.34,Express,Singapore Airlines Cargo,Summer,CAO,2,1288.0,12.06,1530.25,0.772,0.057,0.725,4335.55,0.5232
RTE_018054,2025-04-23 15:05:50,SHP_004023,CR_04,ORD,JED,Heavy,4206.14,Economy,Saudia Cargo,Spring,HEA,2,10816.0,31.48,13150.95,0.764,0.595,0.781,18453.61,0.3158
RTE_002798,2025-05-19 07:38:00,SHP_000628,CR_05,FRA,JED,General,4512.84,Standard,Etihad Cargo,Spring,GEN,2,4234.0,19.58,7605.94,0.7,0.474,0.851,12034.1,0.3439
RTE_014607,2025-11-14 10:54:28,SHP_003243,CR_02,ATL,JED,Heavy,10136.62,Economy,Saudia Cargo,Monsoon,HEA,1,11164.0,27.4,23320.33,0.856,0.336,0.778,42223.38,0.39
RTE_006445,2025-10-20 02:55:50,SHP_001435,CR_04,BRU,JED,Heavy,7705.39,Express,Saudia Cargo,Monsoon,HEA,0,4375.0,7.43,14172.64,0.931,0.532,0.671,43248.71,0.5608
RTE_009381,2025-04-01 15:14:27,SHP_002095,CR_01,AUH,JED,Heavy,4229.52,Standard,Emirates SkyCargo,Spring,HEA,0,1597.0,3.89,10013.52,0.878,0.39,0.742,17713.52,0.4925
RTE_017516,2025-04-05 09:20:15,SHP_003902,CR_01,MAD,JED,General,2788.94,Express,Etihad Cargo,Spring,GEN,1,4555.0,10.02,6017.04,0.86,0.348,0.805,12218.25,0.5592
RTE_001490,2026-02-23 22:35:13,SHP_000330,CR_05,RUH,JED,Perishable,1719.74,Standard,Singapore Airlines Cargo,Winter,ICE,1,995.0,11.33,2648.65,0.856,0.105,0.659,6069.94,0.7823
RTE_006271,2025-03-29 19:33:39,SHP_001397,CR_01,AMS,JED,Perishable,1387.46,Standard,Saudia Cargo,Spring,FRO,0,4720.0,10.29,3430.7,0.967,0.073,0.867,7727.02,0.8876
RTE_002175,2026-02-07 13:18:46,SHP_000486,CR_02,LAX,JED,Dangerous,3542.22,Economy,Qatar Airways Cargo,Winter,DGR,1,13331.0,28.2,11821.65,0.764,0.428,0.602,20243.63,0.4534
RTE_006533,2025-06-14 13:17:10,SHP_001456,CR_02,NRT,JED,Valuable,37.97,Economy,Cargolux,Summer,VAL,2,9697.0,33.07,100.2,0.726,0.207,0.604,1009.49,0.4597
RTE_014488,2025-06-07 16:34:20,SHP_003217,CR_03,ATL,JED,Heavy,10785.95,Standard,Saudia Cargo,Summer,HEA,2,11153.0,28.91,18202.82,0.826,0.429,0.745,43618.75,0.2798
RTE_019984,2025-12-05 14:52:24,SHP_004446,CR_02,DEL,JED,Dangerous,1431.96,Standard,Turkish Cargo,Winter,DGR,2,3900.0,17.73,4113.67,0.626,0.648,0.905,8984.54,0.1978
RTE_003283,2026-02-17 21:11:31,SHP_000736,CR_02,KWI,JED,Heavy,2712.39,Standard,UPS Airlines,Winter,HEA,1,1192.0,9.18,6972.82,0.776,0.392,0.735,12374.57,0.3521
RTE_015322,2025-11-03 22:37:33,SHP_003403,CR_02,RUH,JED,General,1722.63,Express,Turkish Cargo,Monsoon,GEN,1,1086.0,9.68,5468.6,0.907,0.067,0.646,9882.61,0.6095
RTE_017506,2025-04-03 23:09:51,SHP_003899,CR_06,RUH,JED,Dangerous,547.99,Standard,Singapore Airlines Cargo,Spring,CAO,0,700.0,4.22,930.52,0.947,0.039,0.766,3002.76,0.99
RTE_003920,2025-06-11 06:17:16,SHP_000880,CR_01,CDG,JED,Perishable,69.71,Standard,FedEx Express,Summer,PER,0,4441.0,8.9,145.54,0.915,0.288,0.723,4206.41,0.6647
RTE_014306,2025-11-15 01:55:07,SHP_003177,CR_05,ICN,JED,General,3881.89,Standard,Saudia Cargo,Monsoon,GEN,1,8684.0,21.42,10342.32,0.869,0.214,0.695,15427.9,0.4861
RTE_000650,2025-05-10 18:58:38,SHP_000143,CR_01,IST,JED,Pharmaceutical,1391.86,Standard,Saudia Cargo,Spring,ELI,0,2403.0,8.0,2938.77,0.95,0.217,0.729,6957.96,0.885
RTE_010646,2025-03-01 04:46:58,SHP_002372,CR_03,KWI,JED,Pharmaceutical,767.62,Standard,Saudia Cargo,Spring,ELM,1,1134.0,10.4,2228.25,0.844,0.482,0.827,6946.34,0.6437
RTE_012752,2025-05-08 20:08:43,SHP_002839,CR_04,BOM,JED,Perishable,1290.92,Standard,Emirates SkyCargo,Spring,ICE,0,3831.0,7.55,3935.86,0.915,0.458,0.808,6721.56,0.8536
RTE_009533,2026-01-15 23:33:45,SHP_002128,CR_02,MAD,JED,Perishable,512.58,Express,Emirates SkyCargo,Winter,FRO,1,4694.0,12.61,1249.38,0.863,0.262,0.605,4790.19,0.9888
RTE_019054,2025-12-17 00:47:33,SHP_004245,CR_03,BOM,JED,Valuable,717.55,Express,FedEx Express,Winter,VAL,0,3828.0,6.37,2463.59,0.97,0.221,0.692,5360.57,0.99
RTE_016415,2025-03-28 23:23:19,SHP_003651,CR_03,SIN,JED,Pharmaceutical,808.2,Express,Lufthansa Cargo,Spring,ELI,1,7014.0,15.28,2617.55,0.903,0.131,0.707,8409.78,0.4045
RTE_006312,2025-05-27 10:36:39,SHP_001405,CR_03,DEL,JED,General,3352.78,Standard,Etihad Cargo,Spring,GEN,1,3854.0,12.08,9626.25,0.815,0.345,0.71,9889.6,0.6512
RTE_014977,2025-09-12 22:42:17,SHP_003324,CR_06,JFK,JED,General,2525.19,Express,Cargolux,Monsoon,GEN,0,10270.0,12.48,4366.75,0.99,0.14,0.562,16411.77,0.8692
RTE_015147,2025-05-15 21:32:43,SHP_003366,CR_02,NRT,JED,Dangerous,3458.6,Express,FedEx Express,Spring,CAO,1,9611.0,18.5,4733.25,0.874,0.474,0.788,25174.49,0.3214
RTE_002617,2025-10-21 19:50:32,SHP_000587,CR_02,PVG,JED,Heavy,8549.9,Express,Qatar Airways Cargo,Monsoon,HEA,1,7978.0,14.26,19584.87,0.86,0.319,0.786,46844.66,0.5299
RTE_008867,2025-07-17 21:25:52,SHP_001976,CR_04,HKG,JED,Valuable,939.51,Express,FedEx Express,Summer,VAL,1,6376.0,12.27,2366.66,0.938,0.12,0.794,6397.82,0.7816
RTE_016318,2026-01-25 05:53:17,SHP_003630,CR_01,ORD,JED,Pharmaceutical,1676.49,Express,FedEx Express,Winter,ELM,1,10668.0,15.62,3971.6,0.878,0.517,0.667,12890.9,0.54
RTE_011001,2025-10-01 08:38:00,SHP_002454,CR_02,JNB,JED,Heavy,11989.36,Standard,Turkish Cargo,Monsoon,HEA,1,6364.0,17.95,31169.54,0.861,0.091,0.746,48154.3,0.5267
RTE_007802,2025-08-19 23:32:15,SHP_001738,CR_05,HKG,JED,Valuable,926.49,Express,Saudia Cargo,Summer,VAL,0,6330.0,11.82,1345.01,0.99,0.058,0.872,8956.96,0.8162
RTE_010251,2025-11-10 02:41:50,SHP_002287,CR_04,AUH,JED,Pharmaceutical,204.03,Economy,Qatar Airways Cargo,Monsoon,ELM,2,1545.0,10.64,374.62,0.617,0.592,0.783,4520.46,0.1273
RTE_001458,2026-02-09 12:59:10,SHP_000321,CR_03,FRA,JED,Valuable,511.29,Standard,Qatar Airways Cargo,Winter,VAL,1,4202.0,17.16,1444.98,0.817,0.548,0.725,3930.41,0.3478
RTE_015825,2025-10-30 12:59:16,SHP_003514,CR_04,DXB,JED,Perishable,2434.85,Express,Etihad Cargo,Monsoon,FRO,2,1669.0,10.2,6680.42,0.787,0.171,0.749,11962.13,0.575
RTE_006224,2025-08-15 19:40:49,SHP_001387,CR_02,LHR,JED,Valuable,577.91,Standard,Lufthansa Cargo,Summer,VAL,0,4794.0,11.54,1262.96,0.924,0.308,0.582,5699.16,0.8318
RTE_012268,2025-10-21 19:17:59,SHP_002729,CR_02,ADD,JED,Valuable,688.97,Express,UPS Airlines,Monsoon,VAL,1,1623.0,8.33,1466.48,0.925,0.065,0.85,6649.12,0.8601
RTE_004169,2025-11-06 17:11:16,SHP_000935,CR_03,CAI,JED,Valuable,112.37,Standard,FedEx Express,Monsoon,VAL,0,1226.0,5.41,170.73,0.921,0.37,0.802,4187.92,0.5949
RTE_004845,2025-11-09 10:30:47,SHP_001085,CR_04,DXB,JED,Dangerous,1241.85,Standard,FedEx Express,Monsoon,CAO,0,1726.0,6.36,1908.88,0.923,0.307,0.818,7783.53,0.5751
RTE_013663,2025-07-30 07:38:39,SHP_003037,CR_03,LAX,JED,General,1667.36,Standard,Cargolux,Summer,GEN,1,13435.0,25.61,3026.26,0.815,0.478,0.825,9934.19,0.4501
RTE_004681,2025-03-03 16:33:46,SHP_001048,CR_01,ATL,JED,Perishable,50.15,Standard,Emirates SkyCargo,Spring,ICE,1,11356.0,20.6,148.45,0.728,0.565,0.667,3227.74,0.5415
RTE_006493,2025-09-13 15:39:19,SHP_001446,CR_01,JFK,JED,Heavy,12183.48,Economy,Lufthansa Cargo,Monsoon,HEA,2,10225.0,22.07,20202.72,0.685,0.086,0.822,41907.23,0.5105
RTE_016432,2025-07-23 22:46:12,SHP_003655,CR_02,NRT,JED,General,4955.23,Economy,FedEx Express,Summer,GEN,1,9513.0,20.89,10194.15,0.75,0.63,0.679,17072.82,0.3524
RTE_019549,2026-02-07 09:02:18,SHP_004351,CR_03,FRA,JED,Pharmaceutical,24.72,Express,Saudia Cargo,Winter,ELI,1,4036.0,12.35,59.57,0.891,0.3,0.837,1716.63,0.675
RTE_018714,2026-01-08 12:53:59,SHP_004173,CR_03,JFK,JED,Perishable,2016.78,Express,Qatar Airways Cargo,Winter,FRO,0,10390.0,12.98,7822.36,0.984,0.081,0.415,14204.48,0.99
RTE_002555,2026-01-06 06:01:51,SHP_000574,CR_02,ORD,JED,Dangerous,1680.3,Standard,Turkish Cargo,Winter,DGR,1,10777.0,21.87,3418.79,0.84,0.409,0.924,12027.33,0.398
RTE_000745,2025-08-16 14:09:37,SHP_000161,CR_04,LAX,JED,Dangerous,417.14,Standard,Cargolux,Summer,CAO,1,13319.0,28.11,1232.08,0.845,0.144,0.722,2713.35,0.5127
RTE_007673,2025-10-31 22:50:46,SHP_001709,CR_01,NBO,JED,Perishable,2664.77,Economy,Emirates SkyCargo,Monsoon,PER,0,2739.0,7.18,5640.57,0.904,0.143,0.705,11620.62,0.9033
RTE_014009,2025-08-30 02:40:35,SHP_003113,CR_05,LAX,JED,Perishable,1073.45,Standard,Singapore Airlines Cargo,Summer,FRO,2,13495.0,25.54,2391.36,0.802,0.208,0.706,7762.06,0.4943
RTE_018315,2025-06-12 12:25:51,SHP_004082,CR_03,MIA,JED,Perishable,769.13,Express,FedEx Express,Summer,FRO,0,11655.0,13.65,1102.3,0.974,0.102,0.731,6987.43,0.99
RTE_015731,2025-05-26 11:44:38,SHP_003492,CR_01,AMS,JED,Perishable,1660.42,Express,UPS Airlines,Spring,ICE,1,4587.0,12.08,3052.68,0.892,0.252,0.689,10112.74,0.4937
RTE_011669,2025-09-20 02:40:51,SHP_002600,CR_02,MIA,JED,Perishable,645.67,Standard,Cargolux,Monsoon,ICE,1,11545.0,24.24,2071.9,0.845,0.495,0.703,5549.87,0.4555
RTE_001979,2025-04-08 17:49:15,SHP_000439,CR_03,DXB,JED,Perishable,355.65,Standard,Lufthansa Cargo,Spring,PER,0,1808.0,6.07,735.5,0.942,0.21,0.623,4044.77,0.9301
RTE_004825,2026-01-25 00:48:35,SHP_001080,CR_04,MAD,JED,Pharmaceutical,1178.28,Express,Lufthansa Cargo,Winter,ELM,0,4729.0,8.9,1981.11,0.967,0.181,0.562,10111.83,0.7993
RTE_015074,2025-06-18 19:17:03,SHP_003348,CR_03,MIA,JED,Heavy,13483.34,Standard,Qatar Airways Cargo,Summer,HEA,1,11575.0,22.02,19538.22,0.87,0.144,0.78,64351.9,0.6008
RTE_005818,2025-05-28 15:40:30,SHP_001300,CR_04,BRU,JED,Pharmaceutical,371.28,Express,FedEx Express,Spring,ELI,1,4260.0,12.55,999.61,0.904,0.13,0.731,5067.28,0.6424
